Character ID,Character Name,Character Type,Parent ID,State ID,State Name,State Description
1,Occurrence,grouping,,,,
2,Culm,grouping,,,,
3,Inflorescence,grouping,,,,
4,Flower,grouping,,,,
5,Fruit,grouping,,,,
6,Natural Region,discrete,1,1,Murray Mallee,
6,Natural Region,discrete,1,2,Lowan Mallee,
6,Natural Region,discrete,1,3,Wimmera,
6,Natural Region,discrete,1,4,Wannon,
6,Natural Region,discrete,1,5,Grampians,
6,Natural Region,discrete,1,6,Riverina,
6,Natural Region,discrete,1,7,Midlands,
6,Natural Region,discrete,1,8,Victorian Volcanic Plain,
6,Natural Region,discrete,1,9,Otway Plain,
6,Natural Region,discrete,1,10,Otway Ranges,
6,Natural Region,discrete,1,11,Eastern Highlands,
6,Natural Region,discrete,1,12,Gippsland Plain,
6,Natural Region,discrete,1,13,Gippsland Highlands,
6,Natural Region,discrete,1,14,Wilsons Promontory,
6,Natural Region,discrete,1,15,Snowfields,
6,Natural Region,discrete,1,16,East Gippsland,
7,Height,grouping,2,,,
8,Diameter,grouping,2,,,
9,Cross-section,discrete,2,17,Trigonous or triquetrous,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/124836?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#trigonous-or-triquetrous","type":2}]
9,Cross-section,discrete,2,18,Terete,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#terete","type":2}]
9,Cross-section,discrete,2,19,Flat,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#flat","type":2}]
9,Cross-section,discrete,2,20,Biconvex, narrow-ellipsoid or with one side convex,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#biconvex-narrow-ellipsoid-or-with-one-side-convex","type":2}]
9,Cross-section,discrete,2,21,Square,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#square","type":2}]
10,Nodes,discrete,2,22,present,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/21875?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#present","type":2}]
10,Nodes,discrete,2,23,absent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/26442?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#absent","type":2}]
11,Length,grouping,3,,,
12,Type,discrete,3,24,Paniculate,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/22072?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#paniculate","type":2}]
12,Type,discrete,3,25,Anthelate,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/27826?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#anthelate","type":2}]
12,Type,discrete,3,26,Single spikelet or spike,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/41313?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#single-spikelet-or-spike","type":2}]
12,Type,discrete,3,27,Lateral head,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/9784?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#lateral-head","type":2}]
12,Type,discrete,3,28,Terminal Head,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/11760?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#terminal-head","type":2}]
13,Basic inflorescence unit Spikelet/Spike (in Carex) length,grouping,3,,,
14,Flower number per basic inflorescence unit,discrete,3,29,1,
14,Flower number per basic inflorescence unit,discrete,3,30,2,
14,Flower number per basic inflorescence unit,discrete,3,31,3-5,
