Character ID,Entity ID,Min Value,Max Value,Other Values
60,1,1,2,3;8;8
60,2,1,3,4;15;25
60,3,1,5,5;12;20
60,4,1,60,80;150;180
60,5,1,15,15;35;50
60,6,1,20,30;75;85
60,7,1,15,15;48;48
60,8,1,25,25;50;60
60,9,1,10,10;30;30
60,10,1,6,6;26;26
60,11,1,20,20;70;70
60,13,1,40,60;140;150
60,14,1,25,30;65;80
60,15,1,25,30;55;80
60,16,1,8,10;30;30
60,17,1,8,8;25;25
60,18,1,10,10;30;30
60,19,1,40,40;80;80
60,21,1,10,20;45;65
60,22,1,40,50;100;100
60,23,1,10,15;30;40
60,24,1,10,10;30;30
60,25,1,30,30;80;90
60,26,1,40,40;95;110
60,27,1,70,80;180;180
60,28,1,2.7,2.7;9.5;9.5
60,29,1,35,50;110;140
60,34,1,15,20;60;60
60,36,1,10,15;30;35
60,37,1,40,60;160;200
60,38,1,40,40;80;80
60,39,1,70,70;200;200
60,41,1,40,50;130;170
60,42,1,15,20;45;45
60,43,1,30,30;80;80
60,44,1,30,30;60;60
60,45,1,60,60;240;310
60,46,1,25,30;60;70
60,47,1,80,80;240;240
60,48,1,10,20;70;70
60,49,1,10,20;50;80
60,50,1,10,10;25;25
60,51,1,40,50;150;150
60,52,1,70,70;160;160
60,53,1,25,25;70;95
60,54,1,14,14;26;40
60,55,1,10,10;27;50
60,56,1,5,5;13;13
60,57,1,4,4;15;15
60,58,1,45,45;120;150
60,59,1,20,30;70;90
60,60,1,30,30;90;90
60,61,1,40,40;110;110
60,62,1,15,15;25;35
60,63,1,70,70;200;350
60,64,1,12,12;41;41
60,66,1,50,50;140;140
60,67,1,40,40;100;100
60,68,1,10,10;50;50
60,69,1,15,30;60;60
60,70,1,30,30;60;80
60,71,1,15,30;60;60
60,72,1,40,50;90;120
60,73,1,30,50;110;110
60,74,1,80,80;130;130
60,75,1,40,70;140;140
60,76,1,25,30;75;90
60,77,1,60,60;140;140
60,78,1,7,7;20;20
60,79,1,50,50;110;110
60,80,1,50,50;200;250
60,81,1,40,40;120;120
60,82,1,15,15;30;60
60,83,1,70,100;200;200
60,85,1,40,40;160;160
60,86,1,30,50;90;120
60,87,1,16,20;55;70
60,90,1,10,10;45;45
60,91,1,60,90;200;200
60,92,1,15,20;130;130
60,94,1,3,3;8;8
60,95,1,50,60;130;150
60,96,1,10,15;35;42
60,97,1,50,50;170;170
60,98,1,80,120;250;250
60,99,1,10,25;100;120
60,100,1,10,10;40;40
60,101,1,8,8;20;20
60,102,1,40,40;140;140
60,103,1,50,50;100;160
60,104,1,50,50;125;125
60,105,1,40,40;140;140
60,106,1,20,20;40;60
60,107,1,7,7;12;16
60,108,1,25,25;60;60
60,109,1,100,100;150;150
60,110,1,80,80;150;225
60,111,1,30,30;140;140
60,112,1,45,45;115;115
60,113,1,20,20;45;60
60,114,1,40,50;200;200
60,115,1,5,5;25;25
60,116,1,50,70;200;200
60,117,1,70,100;250;400
60,119,1,10,20;45;45
