Character ID,Entity ID,Min Value,Max Value,Other Values
14,1,1,7,7;15;15
14,2,1,0.5,0.5;3;3
14,3,1,,0;3;3
14,4,1,,0;5;5
14,5,1,1,1;4.5;4.5
14,6,1,,0;3;3
14,7,1,,0;25;30
14,8,1,,0;25;30
14,9,1,,0;25;30
14,10,1,4,4;18;18
14,11,1,,0;25;25
14,12,1,,0;40;40
14,13,1,,0;40;40
14,14,1,,0;30;30
14,15,1,,0;30;30
14,16,1,,0;40;40
14,17,1,2,2;7;7
14,18,1,2,2;10;10
14,19,1,2,2;9;20
14,20,1,,0;15;15
14,21,1,,0;15;15
14,22,1,1,1;12;12
14,23,1,3,3;15;15
14,24,1,1,1;15;15
14,25,1,2,2;8;8
14,26,1,1,1;8;10
14,27,1,3,3;25;25
14,28,1,1,1;7;7
14,29,1,2,2;8;8
14,30,1,2,2;7;7
14,31,1,1,1;7;8
14,32,1,1,1;7;7
14,33,1,2,2;12;12
14,34,1,2,2;6;6
14,35,1,2,2;8;8
14,36,1,,0;10;10
14,37,1,2,2;8;8
14,38,1,,0;11;15
14,39,1,,0;15;15
14,40,1,,0;15;15
14,41,1,,0;17;17
14,42,1,,0;15;15
14,43,1,,0;5;5
14,44,1,0.5,0.5;2;2
14,45,1,0.5,0.5;2;2
14,46,1,,0;6;6
14,47,1,1,1;9;15
14,48,1,,0;20;20
14,49,1,,0;10;10
14,50,1,,0;9;9
14,51,1,,0;35;35
14,52,1,,0;2;2
14,53,1,,0;15;15
14,54,1,,0;6;6
14,55,1,,0;12;12
14,56,1,,0;8;8
14,57,1,,0;7;7
14,58,1,,0;10;10
14,59,1,,0;12;12
14,60,1,,0;9;9
14,61,1,,0;10;10
14,62,1,,0;8;8
14,63,1,0.5,0.5;4;4
14,64,1,1,1;4;4
14,65,1,,0;5;5
14,66,1,,0;10;10
14,67,1,,0;10;10
14,68,1,,0;5;5
14,69,1,1,1;9;9
14,70,1,,0;6;6
14,71,1,,0;9;9
14,72,1,,0;6;6
14,73,1,1,1;4;4
14,74,1,4,4;25;25
14,75,1,1,1;10;10
14,76,1,3,3;30;30
14,77,1,,0;13;13
14,78,1,0.5,0.5;3;3
14,79,1,,0;2;2
14,80,1,2,2;8;8
14,81,1,2,2;15;25
14,82,1,2,2;15;25
14,83,1,1.5,1.5;9;9
14,84,1,,0;13;13
14,85,1,,0;4;4
14,86,1,,0;20;20
14,87,1,,0;20;20
14,88,1,,0;20;20
14,89,1,1,1;25;25
14,90,1,,0;20;20
14,91,1,1,1;9;9
14,92,1,1,1;12;12
14,93,1,1,1;10;10
14,94,1,2,2;12;12
14,95,1,1,1;20;20
14,96,1,1,1;15;15
14,97,1,1,1;15;15
14,98,1,1,1;20;20
14,99,1,1,1;15;15
14,100,1,1,1;25;25
14,101,1,1,1;25;25
14,102,1,1,1;30;30
14,103,1,1,1;10;10
14,104,1,1,1;5;5
14,105,1,1,1;7;7
14,106,1,,0;8;8
14,107,1,1,1;12;12
21,1,1,20,20;80;80
21,2,1,3,3;7;7
21,3,1,5,6;25;25
21,4,1,10,10;40;40
21,5,1,10,10;30;30
21,6,1,3,3;5;5
21,7,1,20,20;60;60
21,8,1,20,20;35;35
21,9,1,30,30;70;70
21,10,1,10,10;40;40
21,11,1,10,10;20;20
21,12,1,50,50;100;100
21,13,1,40,40;70;70
21,14,1,30,30;70;70
21,15,1,20,20;60;60
21,16,1,40,40;100;100
21,17,1,10,12;25;25
21,18,1,10,12;27;27
21,19,1,7,7;13;13
21,20,1,5,6;9;10
21,21,1,20,20;30;30
21,22,1,10,10;30;30
21,23,1,10,10;25;28
21,24,1,25,25;35;35
21,25,1,25,25;35;35
21,26,1,15,15;30;30
21,27,1,10,10;50;50
21,28,1,9,9;25;25
21,29,1,20,20;30;30
21,30,1,15,15;30;30
21,31,1,15,15;25;27
21,32,1,20,20;35;35
21,33,1,10,10;30;30
21,34,1,15,15;40;40
21,35,1,20,20;25;25
21,36,1,2,2;8;8
21,37,1,30,30;40;60
21,38,1,40,40;140;140
21,39,1,10,10;44;44
