Character ID,Entity ID,Min Value,Max Value,Other Values
25,1,1,20,20;100;100
25,2,1,30,30;110;110
25,3,1,20,20;180;180
25,4,1,45,45;190;190
25,5,1,10,10;150;150
25,6,1,0.5,0.5;6;6
25,7,1,40,40;150;150
25,8,1,10,10;70;70
25,9,1,50,50;150;150
25,10,1,50,50;120;120
25,11,1,60,60;250;250
25,12,1,1,1;40;40
25,13,1,1,1;40;40
25,14,1,2,2;70;70
25,15,1,5,5;40;40
25,16,1,1,1;20;20
25,17,1,30,30;180;180
25,18,1,20,20;70;70
25,19,1,20,20;180;180
25,20,1,20,20;70;70
25,21,1,2,2;50;50
25,22,1,10,10;50;50
25,23,1,30,30;150;150
25,24,1,5,5;60;60
25,25,1,5,5;50;50
25,26,1,10,10;90;90
25,27,1,30,30;200;200
25,28,1,10,10;100;100
25,29,1,2,2;40;40
25,30,1,10,10;90;90
25,31,1,20,20;80;80
25,32,1,100,100;600;600
25,33,1,20,20;150;150
25,34,1,10,10;120;120
25,35,1,10,10;70;70
25,36,1,10,10;100;100
25,37,1,40,40;250;250
25,38,1,10,10;110;110
25,39,1,20,20;120;120
25,40,1,2,2;70;70
25,41,1,10,10;80;80
25,42,1,100,100;300;300
25,43,1,60,60;250;250
25,44,1,10,10;70;70
25,45,1,10,10;100;100
25,46,1,1.5,1.5;30;30
25,47,1,1,1;15;15
25,48,1,50,50;200;200
25,49,1,70,70;200;200
25,50,1,10,10;100;100
25,51,1,5,5;90;90
25,52,1,0.5,0.5;5;5
25,53,1,30,30;150;150
25,54,1,50,50;200;200
25,55,1,2,2;25;25
25,56,1,2,2;30;30
25,57,1,5,5;25;25
25,58,1,4,4;50;50
25,59,1,4,4;50;50
25,60,1,4,4;50;50
25,61,1,4,4;40;40
25,62,1,4,4;40;40
26,1,1,0.9,0.9;3;3
26,2,1,1.5,1.5;2.5;2.5
26,3,1,2,2;4;4
26,4,1,1.5,1.5;4;4
26,5,1,1,1;2.5;2.5
26,6,1,0.2,0.2;1;1
26,7,1,1,1;6;6
26,8,1,0.8,0.8;1.5;1.5
26,9,1,1.5,1.5;4;4
26,10,1,0.5,0.5;3.5;3.5
26,11,1,2,2;6;6
26,12,1,0.4,0.4;1;1
26,13,1,0.5,0.5;1;1
26,14,1,1,1;5;5
26,15,1,0.2,0.2;0.5;0.5
26,16,1,0.2,0.2;0.5;0.5
26,17,1,1,1;4;4
26,18,1,0.7,0.7;1.5;1.5
26,19,1,1.2,1.2;4.3;4.3
26,20,1,2,2;6;6
26,21,1,0.7,0.7;2;2
26,22,1,0.5,0.5;1.2;1.2
26,23,1,1,1;3.5;3.5
26,24,1,0.9,0.9;2;2
26,25,1,1,1;3;3
26,26,1,1,1;3;3
26,27,1,1,1;3.5;3.5
26,28,1,1,1;2.5;2.5
26,29,1,0.5,0.5;1.5;1.5
26,30,1,0.7,0.7;1.6;1.6
26,31,1,1.5,1.5;3;3
26,32,1,4,4;10;10
26,33,1,1.8,1.8;4.5;4.5
26,34,1,0.9,0.9;4;4
26,35,1,1,1;3;3
26,36,1,1,1;3;3
26,37,1,2.5,2.5;8;8
26,38,1,0.4,0.4;3;3
26,39,1,1.5,1.5;4;4
26,40,1,1,1;3;3
26,41,1,1.3,1.3;3;3
26,42,1,3,3;10;10
26,43,1,1.5,1.5;4;4
26,44,1,0.5,0.5;2.7;2.7
26,45,1,0.5,0.5;2.7;2.7
26,46,1,0.4,0.4;1.3;1.3
26,47,1,0.3,0.3;0.6;0.6
26,48,1,1,1;4;4
26,49,1,3,3;8.5;8.5
26,50,1,0.5,0.5;2.3;2.3
26,51,1,0.8,0.8;1.5;1.5
26,52,1,0.3,0.3;0.5;0.5
26,53,1,0.5,0.5;2.3;2.3
26,54,1,1.5,1.5;5;5
26,55,1,0.5,0.5;1.5;1.5
26,56,1,0.5,0.5;1.1;1.1
26,57,1,0.5,0.5;1;1
26,58,1,0.3,0.3;1.5;1.5
26,59,1,0.5,0.5;1.2;1.2
26,60,1,0.5,0.5;1.5;1.5
26,61,1,0.5,0.5;1.5;1.5
26,62,1,0.5,0.5;1.5;1.5
27,1,1,1,1;2.6;2.6
27,2,1,1.4,1.4;2.5;2.5
27,3,1,2,2;4;4
27,6,1,1.5,1.5;5;5
27,8,1,0.5,0.5;2;2
27,12,1,0.2,0.2;1.2;1.2
27,13,1,0.3,0.3;1.2;1.2
27,14,1,1,1;2.5;2.5
27,15,1,0.2,0.2;0.6;0.6
27,16,1,0.2,0.2;0.5;0.5
27,18,1,0.5,0.5;1.5;1.5
27,20,1,1.5,1.5;6;6
27,21,1,1,1;3;3
27,24,1,0.8,0.8;3;3
27,25,1,0.3,0.3;1.5;1.5
27,26,1,0.5,0.5;2;2
27,28,1,1,1;3;3
27,29,1,0.3,0.3;1;1
27,30,1,0.5,0.5;2.5;2.5
27,33,1,1.5,1.5;4.5;4.5
27,34,1,0.7,0.7;4;4
27,35,1,0.5,0.5;3;3
27,36,1,1,1;4.5;4.5
27,40,1,1,1;11;11
27,41,1,1,1;5.5;5.5
27,46,1,0.4,0.4;2;2
27,47,1,0.2,0.2;1.5;1.5
27,51,1,0.5,0.5;2;2
27,52,1,0.3,0.3;1;1
27,55,1,1,1;4;4
27,56,1,1,1;2;2
27,57,1,1,1;3;3
27,58,1,1.5,1.5;5;5
27,59,1,2.5,2.5;6;6
27,60,1,1,1;5;5
27,61,1,2,2;7;7
27,62,1,1.5,1.5;6;6
28,1,1,9,9;18;18
28,2,1,3,3;12;12
28,3,1,4,4;13;13
28,4,1,3,3;11;11
28,5,1,1,1;10;10
28,6,1,0.3,0.3;1.5;1.5
28,7,1,6,6;14;14
28,8,1,3,3;12;12
28,9,1,2,2;14;14
28,10,1,2,2;15;15
28,11,1,3,3;10;10
28,12,1,2,2;20;20
28,13,1,2,2;7;7
28,14,1,2,2;5;5
28,15,1,0.5,0.5;1.5;1.5
28,16,1,1,1;2;2
28,17,1,2,2;12;12
28,18,1,2,2;10;10
28,19,1,2,2;7;7
28,20,1,2,2;14;14
28,21,1,1,1;3;3
28,22,1,0.7,0.7;3;3
28,23,1,3,3;17;17
28,24,1,3,3;18;18
28,25,1,1.5,1.5;20;20
28,26,1,2,2;16;16
28,27,1,1,1;5;5
28,28,1,5,5;22;22
28,29,1,2,2;11;11
28,30,1,1,1;4;4
28,31,1,2,2;7;7
28,32,1,7,7;30;30
28,33,1,4,4;20;20
28,34,1,4,4;18;18
28,35,1,1,1;10;10
28,36,1,2,2;25;25
28,37,1,6,6;18;18
28,38,1,2,2;10;10
28,39,1,2,2;10;10
28,40,1,2,2;12;12
28,41,1,5,5;17;17
28,42,1,4,4;13;13
28,43,1,5,5;10;10
28,44,1,4,4;12;12
28,45,1,7,7;19;19
28,46,1,1,1;7;7
28,47,1,1,1;9;9
28,48,1,6,6;15;15
28,49,1,10,10;25;25
28,50,1,1,1;13;13
28,51,1,1,1;9;9
28,52,1,0.3,0.3;0.8;0.8
28,53,1,2,2;7;7
28,54,1,7,7;17;17
28,55,1,0.5,0.5;2.5;2.5
28,56,1,0.5,0.5;1.5;1.5
28,57,1,0.5,0.5;1.5;1.5
28,58,1,0.5,0.5;5;5
28,59,1,0.5,0.5;7;7
28,60,1,0.5,0.5;7;7
28,61,1,1,1;3;3
28,62,1,0.5,0.5;5.5;5.5
29,1,1,3,3;9;9
29,2,1,1.5,1.5;10;10
29,3,1,4,4;25;25
29,4,1,3,3;30;30
29,5,1,10,10;33;33
29,6,1,0.2,0.2;0.6;0.6
29,7,1,10,10;40;40
29,8,1,0.5,0.5;2;2
29,9,1,8,8;18;18
29,10,1,2,2;13;13
29,11,1,4,4;16;16
29,12,1,2.5,2.5;17;17
29,13,1,0.6,0.6;11;11
29,14,1,2,2;11;11
29,15,1,1,1;12;12
29,16,1,1,1;4;4
29,17,1,4,4;30;30
29,18,1,2,2;10;10
29,19,1,10,10;37;37
29,20,1,8,8;25;25
29,21,1,0.5,0.5;9;9
29,22,1,2.5,2.5;10;10
29,23,1,5,5;30;30
29,24,1,3,3;23;23
29,25,1,1.5,1.5;8;8
29,26,1,0.5,0.5;26;26
29,27,1,5,5;19;19
29,28,1,4,4;14;14
29,29,1,2,2;15;15
29,30,1,0.7,0.7;7;7
29,31,1,2,2;20;20
29,32,1,20,20;60;60
29,33,1,3,3;40;40
29,34,1,1.4,1.4;6;6
29,35,1,1,1;10;10
29,36,1,1,1;10;10
29,37,1,6,6;35;35
29,38,1,6,6;32;32
29,39,1,4,4;20;20
29,40,1,0.5,0.5;10;10
29,41,1,3,3;14;14
29,42,1,9,9;19;19
29,43,1,8,8;32;32
29,44,1,9,9;40;40
29,45,1,3,3;20;20
