Character ID,Entity ID,Min Value,Max Value,Other Values
24,1,1,20,20;130;130
24,2,1,80,80;250;250
24,3,1,60,60;170;170
24,4,1,25,25;50;50
24,5,1,30,30;190;190
24,6,1,3,3;28;28
24,7,1,6,6;40;40
24,8,1,9,9;45;45
24,9,1,8,8;17;17
24,10,1,8,8;17;17
24,11,1,15,15;45;45
24,12,1,2,2;10;10
24,13,1,3,3;22;22
24,14,1,15,15;120;120
24,15,1,20,20;80;80
24,16,1,3,3;60;60
24,17,1,3,3;35;35
24,18,1,3,3;35;35
24,19,1,8,8;37;37
24,20,1,30,30;130;130
24,21,1,8,8;70;70
24,22,1,15,15;120;120
24,23,1,10,10;90;90
24,24,1,20,20;80;80
24,25,1,4,4;80;80
24,26,1,10,10;110;110
24,27,1,8,8;70;70
24,28,1,8,8;100;100
24,29,1,1,1;80;80
24,30,1,3,3;40;40
24,31,1,7,7;40;40
24,32,1,20,20;100;100
24,33,1,1,1;60;60
24,34,1,15,15;120;120
24,35,1,1,1;6;6
24,36,1,8,8;100;100
24,37,1,30,30;90;90
24,38,1,15,15;60;60
24,39,1,20,20;110;110
24,40,1,6,6;50;50
24,41,1,50,50;350;350
24,42,1,15,15;90;90
24,43,1,3,3;25;25
24,44,1,8,8;70;70
24,45,1,20,20;50;50
24,46,1,12,12;80;80
24,47,1,30,30;130;130
24,48,1,40,40;120;120
24,49,1,15,15;70;70
24,50,1,1.5,1.5;12;12
24,51,1,5,5;40;40
24,52,1,10,10;100;100
24,53,1,40,40;70;70
24,54,1,12,12;50;50
24,55,1,70,70;250;250
24,56,1,30,30;130;130
24,57,1,15,15;60;60
24,58,1,30,30;130;130
24,59,1,80,80;300;300
24,60,1,10,10;70;70
24,61,1,10,10;100;100
24,62,1,5,5;40;40
24,63,1,10,10;70;70
24,64,1,10,10;80;80
24,65,1,8,8;60;60
24,66,1,20,20;100;100
24,67,1,8,8;80;80
24,68,1,80,80;200;200
24,69,1,2,2;25;25
24,70,1,5,5;70;70
24,71,1,20,20;60;60
24,72,1,8,8;50;50
24,73,1,20,20;170;170
24,74,1,10,10;120;120
24,75,1,1,1;6;6
24,76,1,2,2;40;40
24,77,1,15,15;70;70
24,78,1,20,20;180;180
24,79,1,2,2;22;22
24,80,1,8,8;70;70
24,81,1,1,1;25;25
24,82,1,15,15;60;60
24,83,1,3,3;30;30
24,84,1,10,10;70;70
24,85,1,4,4;90;90
24,86,1,15,15;60;60
24,87,1,2,2;18;18
24,88,1,15,15;60;60
24,89,1,20,20;120;120
24,90,1,25,25;120;120
24,91,1,8,8;100;100
24,92,1,3,3;50;50
24,93,1,3,3;60;60
24,94,1,20,20;80;80
24,95,1,3,3;20;20
24,96,1,2,2;34;34
24,97,1,3,3;60;60
24,98,1,1,1;6;6
24,99,1,20,20;90;90
24,100,1,2,2;34;34
24,101,1,20,20;500;500
24,102,1,10,10;120;120
24,103,1,2,2;25;25
24,104,1,8,8;120;120
24,105,1,4,4;30;30
24,106,1,8,8;25;25
24,107,1,100,100;1000;1000
24,108,1,50,50;120;120
24,109,1,80,80;350;350
24,110,1,10,10;35;35
24,111,1,70,70;140;140
24,112,1,15,15;50;50
24,113,1,40,40;120;120
24,114,1,80,80;300;300
24,115,1,20,20;80;80
24,116,1,40,40;120;120
24,117,1,30,30;200;200
24,118,1,2,2;12;12
24,119,1,2,2;15;15
24,120,1,2,2;40;40
24,121,1,2,2;20;20
24,122,1,2,2;50;50
24,123,1,1.5,1.5;10;10
24,124,1,1.5,1.5;10;10
24,125,1,3,3;18;18
24,126,1,6,6;35;35
24,127,1,2,2;26;26
24,128,1,0.5,0.5;6;6
24,129,1,4,4;60;60
24,130,1,1,1;10;10
24,131,1,1.5,1.5;12;12
24,132,1,0.5,0.5;5;5
24,133,1,2,2;25;25
24,134,1,2,2;50;50
24,135,1,2,2;50;50
24,136,1,3,3;30;30
24,137,1,1,1;22;22
