Character ID,Entity ID,Min Value,Max Value,Other Values
16,1,1,10,10;35;35
16,2,1,10,10;35;35
16,3,1,10,10;45;45
16,4,1,10,10;40;40
16,5,1,10,10;40;40
16,6,1,5,5;45;45
16,7,1,5,5;20;20
16,8,1,2,2;35;35
16,9,1,5,5;25;25
16,10,1,5,5;15;15
16,11,1,5,5;30;30
16,12,1,10,10;45;45
16,13,1,2,2;10;10
16,14,1,2,2;12;12
16,15,1,5,5;20;20
16,16,1,5,5;15;15
16,17,1,5,5;12;12
16,18,1,5,5;20;20
16,19,1,2,2;8;8
16,20,1,2,2;8;8
16,21,1,2,2;40;40
16,22,1,2,2;12;12
16,23,1,5,5;20;20
16,24,1,10,10;60;60
16,25,1,5,5;40;40
16,26,1,5,5;25;25
16,27,1,10,10;40;40
16,28,1,10,10;40;40
16,29,1,5,5;25;25
16,30,1,2,2;10;10
16,31,1,10,10;50;50
16,32,1,5,5;20;20
16,33,1,5,5;20;20
16,34,1,5,5;20;20
16,35,1,10,10;30;30
16,36,1,2,2;20;20
16,37,1,3,3;40;40
16,38,1,2,2;10;10
16,39,1,5,5;17;17
16,40,1,5,5;25;25
16,41,1,2,2;10;10
16,42,1,2,2;8;8
16,43,1,2,2;10;10
16,44,1,2,2;10;10
16,45,1,2,2;10;10
16,46,1,5,5;30;30
16,47,1,2,2;10;10
16,48,1,10,10;70;70
16,49,1,10,10;60;60
16,50,1,10,10;90;90
16,51,1,30,30;70;70
16,52,1,2,2;6;6
16,53,1,5,5;20;20
16,54,1,2,2;10;10
16,55,1,2,2;12;12
16,56,1,10,10;40;40
16,57,1,2,2;15;15
16,58,1,5,5;15;15
16,59,1,15,15;60;60
16,60,1,2,2;6;6
16,61,1,2,2;5;5
16,62,1,10,10;40;40
16,63,1,2,2;9;9
16,64,1,5,5;20;20
16,65,1,2,2;50;50
16,66,1,5,5;40;40
16,67,1,10,10;45;45
16,68,1,10,10;70;70
16,69,1,10,10;50;50
16,70,1,10,10;45;45
16,71,1,5,5;40;40
16,72,1,5,5;25;25
16,73,1,5,5;15;15
16,74,1,5,5;12;12
16,75,1,4,4;10;10
16,76,1,2,2;10;10
16,77,1,2,2;15;15
16,78,1,5,5;20;20
16,79,1,2,2;8;8
16,80,1,3,3;15;15
16,81,1,2,2;5;5
16,82,1,5,5;20;20
16,83,1,2,2;10;10
16,84,1,5,5;12;12
16,85,1,5,5;20;20
16,86,1,5,5;25;25
16,87,1,2,2;15;15
16,88,1,2,2;25;25
16,89,1,2,2;15;15
16,90,1,5,5;18;18
16,91,1,10,10;35;35
16,92,1,10,10;40;40
16,93,1,5,5;30;30
16,94,1,2,2;5;5
16,95,1,5,5;35;35
16,96,1,5,5;25;25
16,97,1,2,2;15;15
16,98,1,8,8;30;30
16,99,1,5,5;30;30
