ID,Title,Total Entities,Total Features,Total States,Scored Entities,Discrete Characters,Numeric Characters,Grouping Characters,Download URL,Downloaded At
a6a51c2a-daef-4748-b022-e642d3f187b8,Key to the Asteraceae of Victoria,615,56,134,134,38,8,10,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/asteraceae.js,2025-09-20T09:33:57.414Z
a958fd46-1327-46a2-ad14-47bce05988cf,Key to Brassicaceae in Victoria,107,43,92,92,26,5,12,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/brassicaceae.js,2025-09-20T09:34:00.093Z
115cc464-6167-4b50-9c3a-72f0bc8ff745,Multiaccess key to families of flowering plants in Victoria_updated Aug 2022,167,87,307,307,70,0,17,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/magnoliopsida.js,2025-09-20T09:34:01.304Z
2aca28ae-4324-47d1-a43f-d20522e72fea,Multiaccess key to the Fabaceae of Victoria,310,62,178,178,43,7,12,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/fabaceae.js,2025-09-20T09:34:03.257Z
80a71d25-f9c5-4ff7-b64e-5888353f317c,Multi access key to the Acacia of Victoria,146,77,138,138,41,18,18,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/acacia.js,2025-09-20T09:34:05.256Z
f0df3b5c-b214-4b09-8cdc-beaac7722092,Multiaccess key to the Cyperaceae of Victoria,206,30,60,60,11,7,12,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/cyperaceae.js,2025-09-20T09:34:07.246Z
d2a3243e-22e9-41cc-85f2-46b5c4799629,Multiaccess key to the Juncaceae of Victoria,62,32,36,36,10,8,14,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/juncaceae.js,2025-09-20T09:34:09.230Z
f4e1046d-d53b-4f98-920c-4e4c18d75db8,Key to the eucalypts of Victoria2,159,92,265,265,70,11,11,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/eucalypts.js,2025-09-20T09:34:11.289Z
hornworts-thallose-liverworts,Multiaccess key to the hornworts and thallose liverworts of Victoria,88,55,138,138,47,0,8,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/thallose-liverworts-and-hornworts.js,2025-09-20T09:34:13.395Z
leafy-liverworts,Multiaccess key to the leafy liverworts of Victoria,142,59,174,174,51,0,8,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/leafy-liverworts.js,2025-09-20T09:34:14.254Z
bryophyta,Multi access key to the mosses of Victoria,421,70,214,214,61,0,9,https://vicflora-cdn.rbg.vic.gov.au/lucid-keys/bryophyta.js,2025-09-20T09:34:15.279Z
